conm,quarter,firm,tpuashare
FAIRCHILD SEMICONDUCTOR INTL,2005q1,FCS,0
CACHE INC,2005q1,CACH,0
ARI NETWORK SERVICES INC,2005q1,ARIS,0
FOCUS ENHANCEMENTS INC,2005q1,FCSEQ,0
AMERCO,2005q1,UHAL,0
ELKCORP,2005q1,ELK,0
SEABULK INTERNATIONAL INC,2005q1,SBLK.1,0
DELTA & PINE LAND CO,2005q1,DLP,0
UNIVERSAL DISPLAY CORP,2005q1,OLED,0
BEAZER HOMES USA INC,2005q1,BZH,0
RPC INC,2005q1,RES,0
WD-40 CO,2005q1,WDFC,0
MCGRATH RENTCORP,2005q1,MGRC,0
PEERLESS SYSTEMS CORP,2005q1,PRLS,0
PLAINS ALL AMER PIPELNE  -LP,2005q1,PAA,0
ROCKWELL COLLINS,2005q1,COL,0
LONE STAR TECHNOLOGIES,2005q1,LSS,0
CATERPILLAR INC,2005q1,CAT,0
CATALYTICA ENERGY SYS INC,2005q1,CESI,0
CROWN HOLDINGS INC,2005q1,CCK,0
CADENCE DESIGN SYSTEMS INC,2005q1,CDNS,0
NUVELO INC,2005q1,NUVO,0
WILD OATS MARKETS INC,2005q1,OATS,0
WHOLE FOODS MARKET INC,2005q1,WFM,0
AQUANTIVE INC,2005q1,AQNT,0
IDEXX LABS INC,2005q1,IDXX,0
SINCLAIR BROADCAST GP  -CL A,2005q1,SBGI,0
ACTEL CORP,2005q1,ACTL.1,0
ACTION PERFORMANCE COS INC,2005q1,ATN.2,0
EMMIS COMMUNICATIONS CP-CL A,2005q1,EMMS,0
SONUS PHARMACEUTICALS INC,2005q1,SNUS,0
SAUCONY INC  -CL B,2005q1,SCNYB,0
AMIS HOLDINGS INC,2005q1,AMIS,0
CONVERGYS CORP,2005q1,CVG,0
BLOCK H & R INC,2005q1,HRB,0
STANCORP FINANCIAL GROUP INC,2005q1,SFG,0
SCHLUMBERGER LTD,2005q1,SLB,0
KIRBY CORP,2005q1,KEX,0
REYNOLDS AMERICAN INC,2005q1,RAI,0
US SHIPPING PARTNERS LP,2005q1,USSPQ,0
APTIMUS INC,2005q1,APTM,0
NETWORK ENGINES INC,2005q1,NEI,0
WEST CORP,2005q1,WSTC,0
PREMCOR INC,2005q1,PCO.2,0
HANOVER CAPITAL MTG HOLDINGS,2005q1,HCM.1,0
P F CHANGS CHINA BISTRO INC,2005q1,PFCB,0
PRINTRONIX INC,2005q1,PTNX,0
SIRENZA MICRODEVICES INC,2005q1,SMDI.,0
ENESCO GROUP INC,2005q1,ENCZQ,0
OFFICE DEPOT INC,2005q1,ODP,0
INSIGHT COMMUNICATIONS CO,2005q1,1215B,0
RADNOR HOLDINGS CORP,2005q1,1162B,0
INTL SPEEDWAY CORP  -CL A,2005q1,ISCA,0
HOUGHTON MIFFLIN CO,2005q1,0780B,0
ZILA INC,2005q1,ZILA,0
UST INC,2005q1,UST.1,0
CCC INFORMATION SVCS GRP INC,2005q1,CCCG,0
AAMES INVESTMENT CORP,2005q1,AIC.3,0
MENTOR GRAPHICS CORP,2005q1,MENT,0
INNOVATIVE SOLTNS & SUPP INC,2005q1,ISSC,0
ABGENIX INC,2005q1,ABGX,0
JACUZZI BRANDS INC,2005q1,JJZ,0
REHABCARE GROUP INC,2005q1,RHB,0
NET2PHONE INC,2005q1,NTOP,0
ALPHARMA INC  -CL A,2005q1,ALO.2,0
AUGUST TECHNOLOGY CORP,2005q1,AUGT,0
GULFMARK OFFSHORE INC,2005q1,GLF,0
PRESSTEK INC,2005q1,PRST,0
BURLINGTON NORTHERN SANTA FE,2005q1,BRK3,0
DIGITAL RIVER INC,2005q1,DRIV.1,0
PINNACLE ENTERTAINMENT INC,2005q1,PNK,0
CNA SURETY CORP,2005q1,SUR,0
ATMI INC,2005q1,ATMI,0
APPLIED SIGNAL TECHNOLOGY,2005q1,APSG,0
ARMOR HOLDINGS INC,2005q1,AH.Z,0
ECOLAB INC,2005q1,ECL,0
PINNACLE SYSTEMS INC,2005q1,PCLE,0
STANDEX INTERNATIONAL CORP,2005q1,SXI,0
BROWN & BROWN INC,2005q1,BRO,0
ALASKA AIRLINES INC,2005q1,ALK1,0
EYETECH PHARMACEUTICALS INC,2005q1,EYET,0
ELLIS PERRY INTL INC,2005q1,PERY,0
RAVEN INDUSTRIES INC,2005q1,RAVN,0
BEMIS CO INC,2005q1,BMS,0
BINDVIEW DEVELOPMENT CORP,2005q1,BVEW,0
COGNEX CORP,2005q1,CGNX,0
INTEL CORP,2005q1,INTC,0
METLIFE INC,2005q1,MET,0
AIR PRODUCTS & CHEMICALS INC,2005q1,APD,0
WEYERHAEUSER CO,2005q1,WY,0
FORD MOTOR CO,2005q1,F,0
NAPSTER INC,2005q1,NAPS,0
USF CORP,2005q1,USFC.1,0
AVAYA INC,2005q1,5933B,0
VARIAN INC,2005q1,VARI,0
TRANSMONTAIGNE INC,2005q1,TMG.1,0
ALLTEL CORP,2005q1,AT.2,0
SEPRACOR INC,2005q1,SEPR,0
ANSOFT CORP,2005q1,ANST,0
RCN CORP,2005q1,RCNI,0
MCDATA CORP  -CL A,2005q1,MCDTA,0
TRIAD GUARANTY INC,2005q1,TGIC,0
AGILE SOFTWARE CORP,2005q1,AGIL,0
BROWN FORMAN CORP,2005q1,BF.B,0
MISSION RESOURCES CORP,2005q1,MSSN,0
ALBERTO-CULVER CO,2005q1,ACV.1,0
WOODWARD INC,2005q1,WWD,0
TITAN CORP,2005q1,TTN,0
DOVER DOWNS GAMING & ENTMT,2005q1,DDE,0
RAILAMERICA INC,2005q1,RA.3,0
A S V INC,2005q1,ASVI,0
DOBSON COMMUNICATIONS CORP,2005q1,DCEL.1,0
SPECTRANETICS CORP,2005q1,SPNC,0
MILACRON INC,2005q1,MZIAQ,0
GATEWAY INC,2005q1,GTW,0
ALASKA COMMUNICATIONS SYS GP,2005q1,ALSK,0
PACTIV CORP,2005q1,PTV,0
INTERVOICE INC,2005q1,INTV.1,0
GOTTSCHALKS INC,2005q1,GOTTQ,0
FLEETWOOD ENTERPRISES INC,2005q1,FLTWQ,0
SEALED AIR CORP,2005q1,SEE,0
AMERN EAGLE OUTFITTERS INC,2005q1,AEO,0
AVALONBAY COMMUNITIES INC,2005q1,AVB,0
ROSS STORES INC,2005q1,ROST,0
KRONOS INC,2005q1,KRON,0
CABELAS INC,2005q1,CAB,0
CHESAPEAKE CORP,2005q1,CSKEQ,0
ESTERLINE TECHNOLOGIES CORP,2005q1,ESL,0
ATWOOD OCEANICS,2005q1,ATW,0
LASERCARD CORP,2005q1,LCRD,0
CERTEGY INC,2005q1,CEY.3,0
ARCTIC CAT INC,2005q1,ACAT,0
SOURCECORP INC,2005q1,SRCP.,0
TRANSWITCH CORP,2005q1,TXCCQ,0
PORTALPLAYER INC,2005q1,PLAY.1,0
TECH DATA CORP,2005q1,TECD,0
MERIDIAN RESOURCE CORP,2005q1,TMR,0
P & F INDUSTRIES  -CL A,2005q1,PFIN,0
CHAMPION ENTERPRISES INC,2005q1,CJHBQ,0
AZZ INC,2005q1,AZZ,0
CONVERA CORP,2005q1,CNVR.,0
AAON INC,2005q1,AAON,0
BRADY CORP,2005q1,BRC,0
HOME DEPOT INC,2005q1,HD,0
AXSYS TECHNOLOGIES INC,2005q1,AXYS,0
CONN'S INC,2005q1,CONN,0
CLOSURE MEDICAL CORP,2005q1,CLSR,0
RURAL CELLULAR CORP  -CL A,2005q1,RCCC.1,0
CATAPULT COMMUNICATIONS CORP,2005q1,CATT,0
MESA AIR GROUP INC,2005q1,MESAQ,0
PMA CAPITAL CORP,2005q1,PMACA,0
FUELCELL ENERGY INC,2005q1,FCEL,0
MCCORMICK & CO INC,2005q1,MKC,0
APPLEBEES INTL INC,2005q1,APPB.1,0
APOGEE ENTERPRISES INC,2005q1,APOG,0
ANALOGIC CORP,2005q1,ALOG,0
NORTHWEST AIRLINES CORP,2005q1,NWA,0
CUNO INC,2005q1,CUNO,0
JAKKS PACIFIC INC,2005q1,JAKK,0
MICRO LINEAR CORP,2005q1,MLIN,0
OSI PHARMACEUTICALS INC,2005q1,OSIP,0
PREMIERE GLOBAL SERVICES INC,2005q1,PGI,0
LCA VISION INC,2005q1,LCAV,0
ENCORE MEDICAL CORP,2005q1,ENMC,0
DIGITAS INC,2005q1,DTAS.,0
CHOICE HOTELS INTL INC,2005q1,CHH,0
INFORMATICA CORP,2005q1,INFA,0
BALL CORP,2005q1,BLL,0
SHAW GROUP INC,2005q1,SHAW,0
FIRST POTOMAC REALTY TRUST,2005q1,FPO,0
CHESAPEAKE ENERGY CORP,2005q1,CHK,0
ENERSYS,2005q1,ENS,0
AIRGAS INC,2005q1,ARG,0
ANDREW CORP,2005q1,ANDW,0
MILLENNIUM PHARMACEUTICALS,2005q1,MLNM,0
LAKELAND INDUSTRIES INC,2005q1,LAKE,0
BUFFALO WILD WINGS INC,2005q1,BWLD,0
CAMBREX CORP,2005q1,CBM,0
UNITED COMPONENTS INC,2005q1,0122A,0
CERNER CORP,2005q1,CERN,0
HERLEY INDUSTRIES INC/DE,2005q1,HRLY,0
COOPER TIRE & RUBBER CO,2005q1,CTB,0
QUIKSILVER INC,2005q1,ZQKSQ,0
ADVO INC,2005q1,AD,0
UNITED ONLINE INC,2005q1,UNTD,0
NOVELL INC,2005q1,NOVL,0
WHIRLPOOL CORP,2005q1,WHR,0
SUPERVALU INC,2005q1,SVU,0
CELSION CORP,2005q1,CLSN,0
RANGE RESOURCES CORP,2005q1,RRC,0
ATS MEDICAL INC,2005q1,ATSI,0
BENCHMARK ELECTRONICS INC,2005q1,BHE,0
DYNEX CAPITAL INC,2005q1,DX,0
HOLOGIC INC,2005q1,HOLX,0
EDUCATE INC,2005q1,EEEE,0
GENERAL ELECTRIC CO,2005q1,GE,0
EMAGIN CORP,2005q1,EMAN,0
SEEBEYOND TECHNOLOGY CORP,2005q1,SBYN,0
CAMPBELL SOUP CO,2005q1,CPB,0
PAXAR CORP,2005q1,PXR.1,0
FISHER COMMUNICATIONS INC,2005q1,FSCI,0
COHU INC,2005q1,COHU,0
OLD DOMINION FREIGHT,2005q1,ODFL,0
AT&T CORP,2005q1,T.2,0
ASPEN TECHNOLOGY INC,2005q1,AZPN,0
COX RADIO INC  -CL A,2005q1,CXR,0
VYYO INC,2005q1,VYYO,0
NEW PLAN EXCEL REALTY TR,2005q1,NXL.,0
NORDSTROM INC,2005q1,JWN,0
CTS CORP,2005q1,CTS,0
ST JUDE MEDICAL INC,2005q1,STJ,0
INFOCROSSING INC,2005q1,IFOX,0
SYNOPSYS INC,2005q1,SNPS,0
GETTY IMAGES INC,2005q1,GYI,0
WESTELL TECH INC  -CL A,2005q1,WSTL,0
MED-DESIGN CORP,2005q1,MEDC.,0
WORLD HEART CORP,2005q1,WHRT,0
TALX CORP,2005q1,TALX,0
ARENA PHARMACEUTICALS INC,2005q1,ARNA,0
ALLEGHENY TECHNOLOGIES INC,2005q1,ATI,0
ABBOTT LABORATORIES,2005q1,ABT,0
CROSS COUNTRY HEALTHCARE INC,2005q1,CCRN,0
IVILLAGE INC,2005q1,IVIL,0
CELEBRATE EXPRESS INC,2005q1,BDAY,0
CUMMINS INC,2005q1,CMI,0
CABOT MICROELECTRONICS CORP,2005q1,CCMP,0
MAXYGEN INC,2005q1,MAXY,0
MGI PHARMA INC,2005q1,MOGN,0
ENZO BIOCHEM INC,2005q1,ENZ,0
ASK JEEVES INC,2005q1,ASKJ,0
MEADOWBROOK INS GROUP INC,2005q1,MIG,0
TITANIUM METALS CORP,2005q1,TIE,0
AMERICAN DENTAL PARTNERS INC,2005q1,ADPI,0
ORASURE TECHNOLOGIES INC,2005q1,OSUR,0
CHICOS FAS INC,2005q1,CHS,0
SKECHERS U S A INC,2005q1,SKX,0
OLD REPUBLIC INTL CORP,2005q1,ORI,0
LUFKIN INDUSTRIES INC,2005q1,LUFK,0
PIONEER COS INC  -CL A,2005q1,PONR,0
NOVELLUS SYSTEMS INC,2005q1,NVLS.1,0
DIONEX CORP,2005q1,DNEX,0
EXTREME NETWORKS INC,2005q1,EXTR,0
KEANE INC,2005q1,KEA,0
JONES LANG LASALLE INC,2005q1,JLL,0
GUILFORD PHARMACEUTICAL INC,2005q1,GLFD,0
LIBERTY PROPERTY TRUST,2005q1,LPT,0
NEOMAGIC CORP,2005q1,NMGC,0
SCIENTIFIC-ATLANTA INC,2005q1,SFA.1,0
HNI CORP,2005q1,HNI,0
EDWARDS LIFESCIENCES CORP,2005q1,EW,0
SALTON INC,2005q1,SFPI.,0
INSPIRE PHARMACEUTICALS INC,2005q1,ISPH,0
CALYPTE BIOMEDICAL CORP,2005q1,CBMC,0
SMITHFIELD FOODS INC,2005q1,0173A,0
TASTY BAKING CO,2005q1,TSTY,0
PROXYMED INC,2005q1,PILLQ,0
CALLIDUS SOFTWARE INC,2005q1,CALD,0
CHECKFREE CORP,2005q1,CKFR,0
AKAMAI TECHNOLOGIES INC,2005q1,AKAM,0
ALBEMARLE CORP,2005q1,ALB,0
INTL GAME TECHNOLOGY,2005q1,IGT.1,0
ALBERTSON'S INC,2005q1,ABS.1,0
ROGERS CORP,2005q1,ROG,0
GEN-PROBE INC,2005q1,GPRO.2,0
BIO-RAD LABORATORIES INC,2005q1,BIO,0
CALAMP CORP,2005q1,CAMP,0
CENVEO INC,2005q1,CVOVQ,0
DPAC TECHNOLOGIES CORP,2005q1,DPAC,0
MARRIOTT INTL INC,2005q1,MAR,0
LUMINEX CORP,2005q1,LMNX,0
DSL.NET INC,2005q1,3DSLN,0
SEMITOOL INC,2005q1,SMTL,0
CITRIX SYSTEMS INC,2005q1,CTXS,0
DOUBLECLICK INC,2005q1,DCLK,0
CORINTHIAN COLLEGES INC,2005q1,COCOQ,0
RCM TECHNOLOGIES INC,2005q1,RCMT,0
CONSTELLATION BRANDS,2005q1,STZ,0
PALL CORP,2005q1,PLL.1,0
WASHINGTON GROUP INTL INC,2005q1,WNG,0
LOEWS CORP,2005q1,L,0
SONIC SOLUTIONS,2005q1,SNIC,0
BROOKSTONE INC,2005q1,2270B,0
GLOBAL PAYMENTS INC,2005q1,GPN,0
YORK INTERNATIONAL CORP,2005q1,YRK,0
VERINT SYSTEMS INC,2005q1,VRNT,0
ADVANCED DIGITAL INFO CORP,2005q1,ADIC,0
FILENET CORP,2005q1,FILE,0
DIEBOLD NIXDORF INC,2005q1,DBD,0
STRYKER CORP,2005q1,SYK,0
ADVANCED MEDICAL OPTICS INC,2005q1,EYE.3,0
MEDCO HEALTH SOLUTIONS INC,2005q1,MHS,0
CFC INTERNATIONAL INC,2005q1,CFCI,0
FORMFACTOR INC,2005q1,FORM,0
BARNES GROUP INC,2005q1,B,0
EMISPHERE TECHNOLOGIES INC,2005q1,EMIS,0
CLARCOR INC,2005q1,CLC,0
TELIK INC -OLD,2005q1,TELK.1,0
COMMERCIAL METALS,2005q1,CMC,0
COUSINS PROPERTIES INC,2005q1,CUZ,0
IRON MOUNTAIN INC,2005q1,IRM,0
SANDERSON FARMS INC,2005q1,SAFM,0
MILLENNIUM CELL INC,2005q1,MCELQ,0
ACADIA REALTY TRUST,2005q1,AKR,0
SMUCKER (JM) CO,2005q1,SJM,0
BIOSITE INC,2005q1,BSTE,0
ARROW ELECTRONICS INC,2005q1,ARW,0
ASSURANT INC,2005q1,AIZ,0
BONE CARE INTERNATIONAL INC,2005q1,BCII.1,0
CASTLE (A M) & CO,2005q1,CTAM,0
ABERCROMBIE & FITCH  -CL A,2005q1,ANF,0
PROTECTIVE LIFE CORP,2005q1,PL,0
UNITED NATURAL FOODS INC,2005q1,UNFI,0
WATSCO INC,2005q1,WSO,0
LIFELINE SYSTEMS INC,2005q1,LIFE.1,0
UNITED STATES STEEL CORP,2005q1,X,0
ARBOR REALTY TRUST INC,2005q1,ABR,0
MDC HOLDINGS INC,2005q1,MDC,0
ADVANCED ENERGY INDS INC,2005q1,AEIS,0
GAP INC,2005q1,GPS,0
ECOST.COM INC,2005q1,ECST,0
ALIGN TECHNOLOGY INC,2005q1,ALGN,0
OWENS-ILLINOIS INC,2005q1,OI,0
RAE SYSTEMS INC,2005q1,RAE,0
PFIZER INC,2005q1,PFE,0
PALM HARBOR HOMES INC,2005q1,PHHMQ,0
KOPIN CORP,2005q1,KOPN,0
SEITEL INC,2005q1,3SELA,0
SIGMA-ALDRICH CORP,2005q1,SIAL,0
HOT TOPIC INC,2005q1,HOTT,0
DAKTRONICS INC,2005q1,DAKT,0
SI INTERNATIONAL INC,2005q1,SINT.1,0
WESTERN WIRELESS CORP  -CL A,2005q1,WWCA.,0
EQUITY LIFESTYLE PROPERTIES,2005q1,ELS,0
HORNBECK OFFSHORE SVCS INC,2005q1,HOS,0
QUIDEL CORP,2005q1,QDEL,0
FLOWERS FOODS INC,2005q1,FLO,0
POSSIS MEDICAL INC,2005q1,POSS,0
COHERENT INC,2005q1,COHR,0
HALLIBURTON CO,2005q1,HAL,0
EFUNDS CORP,2005q1,EFD.1,0
ICT GROUP INC,2005q1,ICTG.1,0
DISTRIBUTED ENERGY SYS CORP,2005q1,DESCQ,0
AMERICAN GREETINGS  -CL A,2005q1,AM.1,0
EMBREX INC,2005q1,EMBX,0
INTL RECTIFIER CORP,2005q1,IRF,0
KNIGHT-RIDDER INC,2005q1,KRI,0
FERRO CORP,2005q1,FOE,0
GEMSTAR-TV GUIDE INTL INC,2005q1,GMST,0
SMART & FINAL INC,2005q1,SMF.1,0
MONTEREY GOURMET FOODS INC,2005q1,PSTA,0
ACTUATE CORP,2005q1,BIRT,0
MCDERMOTT INTL INC,2005q1,MDR,0
CNS INC,2005q1,CNXS.1,0
TECHNOLOGY SOLUTIONS CO,2005q1,TSCC,0
HUTCHINSON TECHNOLOGY INC,2005q1,HTCH,0
COVAD COMMUNICATIONS GROUP,2005q1,DVW,0
BUCYRUS INTERNATIONAL INC,2005q1,BUCY,0
CAREER EDUCATION CORP,2005q1,CECO,0
UNITED DEFENSE INDUSTRIES,2005q1,UDI,0
ALTRIA GROUP INC,2005q1,MO,0
ENPRO INDUSTRIES INC,2005q1,NPO,0
RADIAN GROUP INC,2005q1,RDN,0
BELLSOUTH CORP,2005q1,BLS,0
LUCENT TECHNOLOGIES INC,2005q1,LU,0
SONIC AUTOMOTIVE INC  -CL A,2005q1,SAH,0
LANDRYS RESTAURANTS INC,2005q1,LNY,0
POLYCOM INC,2005q1,PLCM,0
DARDEN RESTAURANTS INC,2005q1,DRI,0
MEADE INSTRUMENTS CORP,2005q1,MEAD,0
GENERAL MOTORS CO,2005q1,GM,0
OLIN CORP,2005q1,OLN,0
SIGMA DESIGNS INC,2005q1,SIGM,0
GREAT LAKES DREDGE & DOCK CP,2005q1,GLDD,0
HORACE MANN EDUCATORS CORP,2005q1,HMN,0
SAPIENT CORP,2005q1,SAPE,0
JOY GLOBAL INC,2005q1,JOY,0
PATHEON NV,2005q1,PTHN,0
DOLLAR GENERAL CORP,2005q1,DG,0
AIRTRAN HOLDINGS INC,2005q1,AAI,0
MANTECH INTL CORP,2005q1,MANT,0
EASTMAN CHEMICAL CO,2005q1,EMN,0
1-800 CONTACTS INC,2005q1,CTAC.1,0
PARKWAY PROPERTIES INC,2005q1,PKY.1,0
CARMIKE CINEMAS INC,2005q1,CKEC,0
IVAX CORP,2005q1,IVX.2,0
COMPUDYNE CORP,2005q1,CDCY,0
PSYCHIATRIC SOLUTIONS INC,2005q1,PSYS.1,0
INGRAM MICRO INC,2005q1,IM,0
GLOBAL IMAGING SYSTEMS,2005q1,GISX,0
CARRIZO OIL & GAS INC,2005q1,CRZO,0
LAS VEGAS SANDS CORP,2005q1,LVS,0
CYBERSOURCE CORP,2005q1,CYBS,0
DONEGAL GROUP INC,2005q1,DGICA,0
CEPHALON INC,2005q1,CEPH,0
FIRST ADVANTAGE CORP,2005q1,FADV,0
AUDIBLE INC,2005q1,ADBL,0
GENTA INC,2005q1,GNTAQ,0
PEROT SYSTEMS CORP,2005q1,PER.1,0
AVANIR PHARMACEUTICALS INC,2005q1,AVNR,0
DIGITAL INSIGHT CORP,2005q1,DGIN.,0
STAAR SURGICAL CO,2005q1,STAA,0
ELECTRONICS FOR IMAGING INC,2005q1,EFII,0
ECOLLEGE.COM,2005q1,ECLG,0
MECHANICAL TECHNOLOGY INC,2005q1,MKTY,0
OHIO CASUALTY CORP,2005q1,OCAS,0
LEAP WIRELESS INTL INC,2005q1,LEAP,0
QUEST DIAGNOSTICS INC,2005q1,DGX,0
VENTAS INC,2005q1,VTR,0
QUALCOMM INC,2005q1,QCOM,0
IOMEGA CORP,2005q1,IOM,0
NASSDA CORP,2005q1,NSDA,0
LSI INDUSTRIES INC,2005q1,LYTS,0
VICOR CORP,2005q1,VICR,0
CASH AMERICA INTL INC,2005q1,CSH,0
TRIMERIS INC,2005q1,TRMS,0
MICROSEMI CORP,2005q1,MSCC,0
ENGINEERED SUPPORT SYSTEMS,2005q1,EASI.1,0
PLANETOUT INC,2005q1,LGBT,0
NEENAH PAPER INC,2005q1,NP,0
FSI INTL INC,2005q1,FSII,0
MYRIAD GENETICS INC,2005q1,MYGN,0
GENZYME CORP,2005q1,GENZ,0
MITY ENTERPRISES INC,2005q1,MITY,0
BERKLEY (W R) CORP,2005q1,WRB,0
ENCYSIVE PHARMACEUTICALS INC,2005q1,ENCY,0
PLX TECHNOLOGY INC,2005q1,PLXT,0
CHARMING SHOPPES INC,2005q1,CHRS.1,0
INTERSECTIONS INC,2005q1,INTX,0
HEWITT ASSOCIATES INC,2005q1,HEW,0
OXFORD INDUSTRIES INC,2005q1,OXM,0
IMMUCOR INC,2005q1,BLUD1,0
PHARMION CORP,2005q1,PHRM.,0
TOPPS CO INC,2005q1,TOPP.1,0
NEIGHBORCARE INC,2005q1,NCRX,0
INTUIT INC,2005q1,INTU,0
SCANSOURCE INC,2005q1,SCSC,0
NCR CORP,2005q1,NCR,0
MICROCHIP TECHNOLOGY INC,2005q1,MCHP,0
TYLER TECHNOLOGIES INC,2005q1,TYL,0
GENUINE PARTS CO,2005q1,GPC,0
JOURNAL REGISTER CO,2005q1,JRCOQ,0
ALTERA CORP,2005q1,ALTR.1,0
GENERAL DYNAMICS CORP,2005q1,GD,0
WELLCARE HEALTH PLANS INC,2005q1,WCG,0
DUKE REALTY CORP,2005q1,DRE,0
PHOENIX TECHNOLOGIES LTD,2005q1,PTEC,0
JONES SODA CO,2005q1,JSDA,0
EDIETS.COM INC,2005q1,DIET,0
OPTICAL COMMUNICATION PRODS,2005q1,OCPI,0
GENESIS MICROCHIP INC,2005q1,GNSS,0
TERADYNE INC,2005q1,TER,0
WHEELING PITTSBURGH CORP,2005q1,WPSC,0
LENNOX INTERNATIONAL INC,2005q1,LII,0
WESTWOOD ONE INC  -OLD,2005q1,WWON,0
RLI CORP,2005q1,RLI,0
AMERICAN MORTGAGE ACCEPTANCE,2005q1,AMOAQ,0
VECTOR GROUP LTD,2005q1,VGR,0
HEARST-ARGYLE TELEVISION,2005q1,HTV,0
INTELLISYNC CORP,2005q1,SYNC.1,0
DIAMOND OFFSHRE DRILLING INC,2005q1,DO,0
CIENA CORP,2005q1,CIEN,0
IMAGISTICS INTERNATIONAL INC,2005q1,IGI.2,0
AEROGEN INC,2005q1,3AEGN,0
COMMERCIAL VEHICLE GROUP INC,2005q1,CVGI,0
KEMET CORP,2005q1,KEM,0
DECKERS OUTDOOR CORP,2005q1,DECK,0
SUPERIOR ESSEX INC,2005q1,SPSX,0
HEALTH NET INC,2005q1,HNT,0
SUN MICROSYSTEMS INC,2005q1,JAVA,0
GARTNER INC,2005q1,IT,0
MGIC INVESTMENT CORP/WI,2005q1,MTG,0
SPARTECH CORP,2005q1,SEH,0
PRIORITY HEALTHCARE CP -CL B,2005q1,PHCC,0
ZHONE TECHNOLOGIES INC,2005q1,ZHNE,0
CORIXA CORP,2005q1,CRXA,0
CASEYS GENERAL STORES INC,2005q1,CASY,0
RC2 CORP,2005q1,RCRC,0
RITE AID CORP,2005q1,RAD,0
LOWE'S COS INC,2005q1,LOW,0
AUTHENTIDATE HOLDING -OLD,2005q1,ADAT.1,0
VISTEON CORP,2005q1,VC,0
SHERWIN-WILLIAMS CO,2005q1,SHW,0
VIRAGE LOGIC CORP,2005q1,VIRL,0
PRIMEDIA INC,2005q1,PRM,0
STATE AUTO FINANCIAL CORP,2005q1,STFC,0
INDEVUS PHARMACEUTICALS INC,2005q1,IDEV.1,0
RAMTRON INTERNATIONAL CORP,2005q1,RMTR,0
FOREST LABORATORIES  -CL A,2005q1,FRX,0
SPINNAKER EXPLORATION CO,2005q1,SKE.1,0
NORDSON CORP,2005q1,NDSN,0
KCS ENERGY INC,2005q1,KCS,0
WESTLAKE CHEMICAL CORP,2005q1,WLK,0
DEAN FOODS CO,2005q1,DF,0
PENN TREATY AMERN CORP,2005q1,PTYA,0
